trial,observer,session,scene,condition_1,condition_2,selected
1,Haris,S,Furniture1,Linear_Skip24,Nearest_Skip24,1
2,Haris,S,ArtGallery2zoom,Nearest_Skip1,Linear_Skip1,2
3,Haris,S,ArtGallery2zoom,Interpolation_Skip4,Linear_Skip4,1
4,Haris,S,Blob,Nearest_Skip24,Linear_Skip24,1
5,Haris,S,Blob,Linear_Skip10,Interpolation_Skip10,2
6,Haris,S,ArtGallery2,Reference_Skip0,Linear_Skip1,1
7,Haris,S,ArtGallery2,Linear_Skip1,Nearest_Skip1,2
8,Haris,S,Furniture1,Nearest_Skip4,Nearest_Skip1,2
9,Haris,S,Furniture3,Nearest_Skip24,Nearest_Skip10,2
10,Haris,S,ArtGallery2zoom,Nearest_Skip24,Nearest_Skip10,2
11,Haris,S,Furniture1,Linear_Skip1,Interpolation_Skip1,1
12,Haris,S,Blob,Interpolation_Skip24,Nearest_Skip24,2
13,Haris,S,ArtGallery2zoom,Interpolation_Skip24,Nearest_Skip24,1
14,Haris,S,Furniture3,Linear_Skip4,Nearest_Skip4,2
15,Haris,S,Blob,Interpolation_Skip4,Linear_Skip4,1
16,Haris,S,Furniture1,Linear_Skip4,Interpolation_Skip4,2
17,Haris,S,Furniture3,Nearest_Skip4,Nearest_Skip1,2
18,Haris,S,Blob,Interpolation_Skip1,Linear_Skip1,1
19,Haris,S,Furniture3,Linear_Skip10,Nearest_Skip10,2
20,Haris,S,ArtGallery2zoom,Interpolation_Skip1,Interpolation_Skip4,1
21,Haris,S,ArtGallery2zoom,Nearest_Skip10,Nearest_Skip4,2
22,Haris,S,ArtGallery2,Interpolation_Skip24,Linear_Skip24,1
23,Haris,S,Furniture1,Linear_Skip1,Nearest_Skip1,1
24,Haris,S,Blob,Interpolation_Skip1,Interpolation_Skip4,2
25,Haris,S,Blob,Interpolation_Skip24,Linear_Skip24,2
26,Haris,S,Furniture3,Linear_Skip1,Linear_Skip4,2
27,Haris,S,ArtGallery2zoom,Interpolation_Skip10,Interpolation_Skip24,1
28,Haris,S,Furniture1,Interpolation_Skip4,Interpolation_Skip10,1
29,Haris,S,ArtGallery2,Nearest_Skip10,Nearest_Skip24,1
30,Haris,S,ArtGallery2,Nearest_Skip24,Linear_Skip24,1
31,Haris,S,Furniture3,Interpolation_Skip4,Interpolation_Skip1,2
32,Haris,S,Furniture1,Interpolation_Skip10,Nearest_Skip10,1
33,Haris,S,Furniture1,Nearest_Skip10,Nearest_Skip24,1
34,Haris,S,Blob,Linear_Skip10,Linear_Skip4,2
35,Haris,S,Furniture3,Linear_Skip10,Interpolation_Skip10,2
36,Haris,S,Blob,Nearest_Skip1,Nearest_Skip4,1
37,Haris,S,ArtGallery2zoom,Reference_Skip0,Linear_Skip1,1
38,Haris,S,ArtGallery2,Reference_Skip0,Interpolation_Skip1,2
39,Haris,S,ArtGallery2zoom,Linear_Skip4,Linear_Skip10,1
40,Haris,S,Furniture1,Linear_Skip10,Linear_Skip4,2
41,Haris,S,Furniture1,Interpolation_Skip10,Interpolation_Skip24,1
42,Haris,S,ArtGallery2zoom,Nearest_Skip4,Interpolation_Skip4,2
43,Haris,S,Blob,Interpolation_Skip24,Interpolation_Skip10,2
44,Haris,S,Blob,Nearest_Skip10,Interpolation_Skip10,1
45,Haris,S,ArtGallery2zoom,Linear_Skip10,Nearest_Skip10,1
46,Haris,S,Furniture1,Linear_Skip24,Linear_Skip10,2
47,Haris,S,ArtGallery2zoom,Interpolation_Skip10,Linear_Skip10,2
48,Haris,S,Blob,Reference_Skip0,Interpolation_Skip1,2
49,Haris,S,Blob,Linear_Skip4,Linear_Skip1,2
50,Haris,S,ArtGallery2,Nearest_Skip4,Nearest_Skip1,2
51,Haris,S,Furniture3,Interpolation_Skip4,Nearest_Skip4,2
52,Haris,S,Blob,Nearest_Skip24,Nearest_Skip10,1
53,Haris,S,Blob,Reference_Skip0,Nearest_Skip1,1
54,Haris,S,Furniture3,Interpolation_Skip1,Nearest_Skip1,2
55,Haris,S,Furniture3,Interpolation_Skip24,Nearest_Skip24,1
56,Haris,S,ArtGallery2,Linear_Skip10,Nearest_Skip10,2
57,Haris,S,ArtGallery2zoom,Interpolation_Skip10,Interpolation_Skip4,2
58,Haris,S,ArtGallery2,Nearest_Skip4,Nearest_Skip10,1
59,Haris,S,Furniture3,Nearest_Skip24,Linear_Skip24,2
60,Haris,S,ArtGallery2zoom,Linear_Skip24,Interpolation_Skip24,2
61,Haris,S,Blob,Nearest_Skip4,Interpolation_Skip4,2
62,Haris,S,ArtGallery2zoom,Nearest_Skip24,Linear_Skip24,1
63,Haris,S,ArtGallery2zoom,Reference_Skip0,Interpolation_Skip1,1
64,Haris,S,Furniture3,Interpolation_Skip24,Interpolation_Skip10,2
65,Haris,S,Furniture1,Interpolation_Skip4,Interpolation_Skip1,1
66,Haris,S,Furniture1,Interpolation_Skip24,Nearest_Skip24,1
67,Haris,S,Furniture3,Nearest_Skip10,Nearest_Skip4,2
68,Haris,S,Furniture3,Interpolation_Skip4,Linear_Skip4,2
69,Haris,S,ArtGallery2,Interpolation_Skip10,Interpolation_Skip24,1
70,Haris,S,Furniture1,Nearest_Skip1,Interpolation_Skip1,2
71,Haris,S,Furniture3,Nearest_Skip10,Interpolation_Skip10,2
72,Haris,S,Blob,Nearest_Skip4,Nearest_Skip10,1
73,Haris,S,Furniture3,Nearest_Skip1,Linear_Skip1,2
74,Haris,S,ArtGallery2,Interpolation_Skip4,Linear_Skip4,2
75,Haris,S,Blob,Nearest_Skip10,Linear_Skip10,2
76,Haris,S,Furniture1,Linear_Skip4,Linear_Skip1,1
77,Haris,S,ArtGallery2zoom,Interpolation_Skip10,Nearest_Skip10,1
78,Haris,S,ArtGallery2zoom,Nearest_Skip4,Linear_Skip4,2
79,Haris,S,ArtGallery2,Reference_Skip0,Nearest_Skip1,1
80,Haris,S,Furniture3,Linear_Skip10,Linear_Skip24,2
81,Haris,S,Blob,Nearest_Skip4,Linear_Skip4,2
82,Haris,S,Blob,Linear_Skip1,Reference_Skip0,2
83,Haris,S,Furniture1,Interpolation_Skip4,Nearest_Skip4,1
84,Haris,S,Furniture1,Interpolation_Skip1,Reference_Skip0,1
85,Haris,S,ArtGallery2,Interpolation_Skip24,Nearest_Skip24,1
86,Haris,S,Furniture3,Reference_Skip0,Nearest_Skip1,1
87,Haris,S,Furniture1,Nearest_Skip10,Nearest_Skip4,2
88,Haris,S,Furniture3,Linear_Skip4,Linear_Skip10,2
89,Haris,S,ArtGallery2zoom,Linear_Skip4,Linear_Skip1,1
90,Haris,S,Furniture3,Interpolation_Skip4,Interpolation_Skip10,2
91,Haris,S,Blob,Interpolation_Skip1,Nearest_Skip1,2
92,Haris,S,Furniture1,Linear_Skip24,Interpolation_Skip24,2
93,Haris,S,Furniture1,Linear_Skip4,Nearest_Skip4,2
94,Haris,S,Blob,Linear_Skip10,Linear_Skip24,1
95,Haris,S,ArtGallery2,Linear_Skip1,Linear_Skip4,1
96,Haris,S,ArtGallery2,Interpolation_Skip4,Nearest_Skip4,1
97,Haris,S,ArtGallery2,Interpolation_Skip1,Nearest_Skip1,1
98,Haris,S,ArtGallery2,Interpolation_Skip10,Nearest_Skip10,1
99,Haris,S,Furniture1,Nearest_Skip10,Linear_Skip10,2
100,Haris,S,ArtGallery2zoom,Linear_Skip24,Linear_Skip10,2
101,Haris,S,Blob,Nearest_Skip1,Linear_Skip1,1
102,Haris,S,ArtGallery2,Linear_Skip24,Linear_Skip10,2
103,Haris,S,ArtGallery2,Linear_Skip4,Nearest_Skip4,1
104,Haris,S,Blob,Interpolation_Skip10,Interpolation_Skip4,2
105,Haris,S,ArtGallery2,Interpolation_Skip10,Linear_Skip10,1
106,Haris,S,Furniture1,Linear_Skip10,Interpolation_Skip10,2
107,Haris,S,Furniture1,Reference_Skip0,Nearest_Skip1,1
108,Haris,S,Furniture3,Interpolation_Skip24,Linear_Skip24,2
109,Haris,S,ArtGallery2zoom,Interpolation_Skip1,Nearest_Skip1,1
110,Haris,S,ArtGallery2,Linear_Skip1,Interpolation_Skip1,1
111,Haris,S,Furniture3,Interpolation_Skip1,Linear_Skip1,2
112,Haris,S,ArtGallery2,Interpolation_Skip4,Interpolation_Skip10,2
113,Haris,S,ArtGallery2,Linear_Skip4,Linear_Skip10,1
114,Haris,S,Furniture3,Linear_Skip1,Reference_Skip0,2
115,Haris,S,ArtGallery2zoom,Nearest_Skip4,Nearest_Skip1,2
116,Haris,S,ArtGallery2,Interpolation_Skip4,Interpolation_Skip1,1
117,Haris,S,ArtGallery2zoom,Interpolation_Skip1,Linear_Skip1,1
118,Haris,S,ArtGallery2zoom,Reference_Skip0,Nearest_Skip1,2
119,Haris,S,Furniture1,Reference_Skip0,Linear_Skip1,1
120,Haris,S,Furniture3,Reference_Skip0,Interpolation_Skip1,2
121,Medha,S,ArtGallery2zoom,Linear_Skip1,Interpolation_Skip1,2
122,Medha,S,ArtGallery2zoom,Nearest_Skip10,Nearest_Skip24,1
123,Medha,S,ArtGallery2zoom,Linear_Skip4,Interpolation_Skip4,1
124,Medha,S,Blob,Linear_Skip10,Nearest_Skip10,2
125,Medha,S,ArtGallery2,Linear_Skip4,Nearest_Skip4,1
126,Medha,S,ArtGallery2zoom,Interpolation_Skip1,Reference_Skip0,1
127,Medha,S,Furniture1,Nearest_Skip1,Reference_Skip0,1
128,Medha,S,Furniture1,Interpolation_Skip24,Nearest_Skip24,1
129,Medha,S,ArtGallery2zoom,Linear_Skip10,Linear_Skip4,2
130,Medha,S,Blob,Nearest_Skip24,Interpolation_Skip24,2
131,Medha,S,ArtGallery2,Nearest_Skip10,Linear_Skip10,2
132,Medha,S,Furniture1,Nearest_Skip1,Nearest_Skip4,1
133,Medha,S,ArtGallery2,Linear_Skip1,Reference_Skip0,2
134,Medha,S,Furniture1,Nearest_Skip4,Linear_Skip4,2
135,Medha,S,Blob,Nearest_Skip1,Linear_Skip1,1
136,Medha,S,ArtGallery2zoom,Linear_Skip10,Linear_Skip24,1
137,Medha,S,Furniture1,Nearest_Skip24,Linear_Skip24,2
138,Medha,S,ArtGallery2,Nearest_Skip1,Interpolation_Skip1,2
139,Medha,S,ArtGallery2,Nearest_Skip24,Nearest_Skip10,2
140,Medha,S,ArtGallery2,Nearest_Skip4,Interpolation_Skip4,2
141,Medha,S,Furniture1,Nearest_Skip4,Nearest_Skip10,1
142,Medha,S,Furniture1,Interpolation_Skip10,Nearest_Skip10,1
143,Medha,S,Furniture3,Interpolation_Skip10,Interpolation_Skip4,2
144,Medha,S,Furniture1,Nearest_Skip10,Linear_Skip10,2
145,Medha,S,ArtGallery2,Interpolation_Skip4,Interpolation_Skip10,2
146,Medha,S,Furniture1,Nearest_Skip24,Nearest_Skip10,2
147,Medha,S,ArtGallery2,Linear_Skip24,Interpolation_Skip24,1
148,Medha,S,Blob,Linear_Skip10,Linear_Skip4,2
149,Medha,S,ArtGallery2zoom,Linear_Skip10,Nearest_Skip10,1
