observer,session_id,scene,condition_1,condition_2,selection,criterion
M01,1,window,tmo_camera,ferwerda96,0,perceptual
M01,1,exhibition,ronan12,irawan05,1,perceptual
M01,1,corridor,irawan05,ferwerda96,0,perceptual
M01,1,exhibition,ronan12,pattanaik00,1,perceptual
M01,1,exhibition,ronan12,hateren06,0,perceptual
M01,1,corridor,irawan05,ronan12,0,perceptual
M01,1,students,hateren06,pattanaik00,0,perceptual
M01,1,corridor,irawan05,pattanaik00,0,perceptual
M01,1,exhibition,ronan12,tmo_camera,0,perceptual
M01,1,rivoli,tmo_camera,mantiuk08,1,perceptual
M01,1,students,hateren06,ronan12,1,perceptual
M01,1,window,tmo_camera,pattanaik00,0,perceptual
M01,1,exhibition,ronan12,ferwerda96,1,perceptual
M01,1,rivoli,tmo_camera,irawan05,1,perceptual
M01,1,exhibition,ronan12,mantiuk08,0,perceptual
M01,1,exhibition,hateren06,tmo_camera,1,perceptual
M01,1,rivoli,tmo_camera,pattanaik00,0,perceptual
M01,1,window,tmo_camera,ronan12,0,perceptual
M01,1,window,tmo_camera,mantiuk08,1,perceptual
M01,1,window,tmo_camera,hateren06,0,perceptual
M01,1,students,hateren06,irawan05,1,perceptual
M01,1,students,hateren06,mantiuk08,1,perceptual
M01,1,corridor,irawan05,tmo_camera,0,perceptual
M01,1,exhibition,hateren06,mantiuk08,1,perceptual
M01,1,window,tmo_camera,irawan05,0,perceptual
M01,1,students,hateren06,ferwerda96,1,perceptual
M01,1,corridor,irawan05,mantiuk08,0,perceptual
M01,1,corridor,irawan05,hateren06,0,perceptual
M01,1,students,hateren06,tmo_camera,1,perceptual
M01,1,students,ronan12,irawan05,1,perceptual
M01,1,corridor,ferwerda96,ronan12,0,perceptual
M01,1,students,ronan12,mantiuk08,1,perceptual
M01,1,corridor,ferwerda96,pattanaik00,0,perceptual
M01,1,rivoli,tmo_camera,ronan12,0,perceptual
M01,1,students,ronan12,ferwerda96,1,perceptual
M01,1,window,ferwerda96,pattanaik00,1,perceptual
M01,1,students,ronan12,tmo_camera,1,perceptual
M01,1,exhibition,irawan05,pattanaik00,0,perceptual
M01,1,rivoli,tmo_camera,hateren06,0,perceptual
M01,1,rivoli,tmo_camera,ferwerda96,1,perceptual
M01,1,rivoli,pattanaik00,ronan12,1,perceptual
M01,1,students,irawan05,mantiuk08,1,perceptual
M01,1,window,ferwerda96,ronan12,1,perceptual
M01,1,students,irawan05,ferwerda96,0,perceptual
M01,1,corridor,ferwerda96,tmo_camera,1,perceptual
M01,1,rivoli,pattanaik00,hateren06,1,perceptual
M01,1,students,irawan05,tmo_camera,0,perceptual
M01,1,rivoli,mantiuk08,irawan05,1,perceptual
M01,1,rivoli,mantiuk08,ferwerda96,1,perceptual
M01,1,exhibition,irawan05,ferwerda96,0,perceptual
M01,1,corridor,ferwerda96,mantiuk08,0,perceptual
M01,1,rivoli,ronan12,hateren06,0,perceptual
M01,1,rivoli,irawan05,ferwerda96,0,perceptual
M01,1,exhibition,tmo_camera,mantiuk08,1,perceptual
M01,1,corridor,ferwerda96,hateren06,0,perceptual
M01,1,exhibition,pattanaik00,ferwerda96,1,perceptual
M01,1,window,ferwerda96,hateren06,0,perceptual
M01,1,window,ferwerda96,irawan05,1,perceptual
M01,1,corridor,ronan12,pattanaik00,0,perceptual
M01,1,corridor,ronan12,mantiuk08,0,perceptual
M01,1,students,ferwerda96,tmo_camera,1,perceptual
M01,1,window,pattanaik00,ronan12,0,perceptual
M01,1,corridor,ronan12,hateren06,0,perceptual
M01,1,corridor,pattanaik00,mantiuk08,1,perceptual
M01,1,window,pattanaik00,irawan05,0,perceptual
M01,1,window,ronan12,irawan05,1,perceptual
M01,1,corridor,pattanaik00,hateren06,0,perceptual
M02,3,corridor,ronan12,tmo_camera,1,perceptual
M02,3,exhibition,ferwerda96,tmo_camera,1,perceptual
M02,3,corridor,ronan12,hateren06,0,perceptual
M02,3,corridor,ronan12,ferwerda96,0,perceptual
M02,3,students,ronan12,pattanaik00,0,perceptual
M02,3,rivoli,pattanaik00,ferwerda96,0,perceptual
M02,3,students,ronan12,mantiuk08,1,perceptual
M02,3,rivoli,pattanaik00,ronan12,0,perceptual
M02,3,window,tmo_camera,ferwerda96,1,perceptual
M02,3,exhibition,ferwerda96,pattanaik00,1,perceptual
M02,3,corridor,ronan12,pattanaik00,0,perceptual
M02,3,rivoli,pattanaik00,tmo_camera,0,perceptual
M02,3,exhibition,ferwerda96,mantiuk08,0,perceptual
M02,3,students,ronan12,hateren06,0,perceptual
M02,3,corridor,ronan12,mantiuk08,0,perceptual
M02,3,corridor,ronan12,irawan05,0,perceptual
M02,3,rivoli,pattanaik00,hateren06,0,perceptual
M02,3,rivoli,pattanaik00,mantiuk08,0,perceptual
M02,3,rivoli,pattanaik00,irawan05,0,perceptual
M02,3,corridor,hateren06,ferwerda96,1,perceptual
M02,3,corridor,hateren06,pattanaik00,1,perceptual
M02,3,exhibition,ferwerda96,ronan12,1,perceptual
M02,3,exhibition,ferwerda96,hateren06,0,perceptual
M02,3,exhibition,ferwerda96,irawan05,1,perceptual
M02,3,students,ronan12,ferwerda96,0,perceptual
M02,3,exhibition,mantiuk08,hateren06,0,perceptual
M02,3,corridor,hateren06,mantiuk08,1,perceptual
M02,3,students,ronan12,tmo_camera,1,perceptual
M02,3,exhibition,tmo_camera,pattanaik00,0,perceptual
M02,3,rivoli,ferwerda96,ronan12,1,perceptual
M02,3,exhibition,tmo_camera,ronan12,1,perceptual
M02,3,students,ronan12,irawan05,1,perceptual
M02,3,window,tmo_camera,mantiuk08,1,perceptual
M02,3,rivoli,ferwerda96,tmo_camera,1,perceptual
M02,3,students,pattanaik00,hateren06,0,perceptual
M02,3,exhibition,tmo_camera,irawan05,1,perceptual
M02,3,students,pattanaik00,ferwerda96,0,perceptual
M02,3,students,mantiuk08,tmo_camera,1,perceptual
M02,3,corridor,hateren06,irawan05,1,perceptual
M02,3,exhibition,ronan12,irawan05,0,perceptual
M02,3,window,tmo_camera,hateren06,0,perceptual
M02,3,students,mantiuk08,irawan05,0,perceptual
M02,3,students,hateren06,ferwerda96,1,perceptual
M02,3,window,tmo_camera,ronan12,0,perceptual
M02,3,corridor,ferwerda96,pattanaik00,0,perceptual
M02,3,window,tmo_camera,irawan05,0,perceptual
M02,3,window,tmo_camera,pattanaik00,0,perceptual
M02,3,window,hateren06,ronan12,1,perceptual
M02,3,window,hateren06,irawan05,1,perceptual
M02,3,window,hateren06,pattanaik00,1,perceptual
M02,3,corridor,ferwerda96,mantiuk08,1,perceptual
M02,3,corridor,ferwerda96,irawan05,0,perceptual
M02,3,rivoli,ferwerda96,hateren06,0,perceptual
M02,3,corridor,pattanaik00,irawan05,1,perceptual
M02,3,window,ferwerda96,mantiuk08,1,perceptual
M02,3,window,ronan12,irawan05,0,perceptual
M02,3,window,ronan12,pattanaik00,0,perceptual
M02,3,window,irawan05,pattanaik00,1,perceptual
M02,3,rivoli,ferwerda96,mantiuk08,0,perceptual
M02,3,rivoli,ferwerda96,irawan05,0,perceptual
M02,3,rivoli,hateren06,mantiuk08,1,perceptual
M02,3,rivoli,hateren06,irawan05,1,perceptual
M02,3,rivoli,ronan12,tmo_camera,1,perceptual
M02,3,rivoli,mantiuk08,irawan05,1,perceptual
M03,4,students,ronan12,irawan05,1,perceptual
M03,4,rivoli,mantiuk08,ronan12,0,perceptual
M03,4,rivoli,mantiuk08,irawan05,0,perceptual
M03,4,exhibition,pattanaik00,irawan05,1,perceptual
M03,4,exhibition,pattanaik00,tmo_camera,1,perceptual
M03,4,window,pattanaik00,ferwerda96,1,perceptual
M03,4,rivoli,mantiuk08,hateren06,0,perceptual
M03,4,students,ronan12,pattanaik00,0,perceptual
M03,4,corridor,tmo_camera,ronan12,0,perceptual
M03,4,corridor,tmo_camera,irawan05,0,perceptual
M03,4,students,ronan12,ferwerda96,0,perceptual
M03,4,window,pattanaik00,irawan05,1,perceptual
M03,4,rivoli,mantiuk08,ferwerda96,0,perceptual
M03,4,exhibition,pattanaik00,hateren06,0,perceptual
M03,4,corridor,tmo_camera,mantiuk08,0,perceptual
M03,4,rivoli,mantiuk08,tmo_camera,1,perceptual
M03,4,window,pattanaik00,mantiuk08,1,perceptual
M03,4,students,ronan12,hateren06,0,perceptual
M03,4,students,ronan12,mantiuk08,1,perceptual
M03,4,rivoli,mantiuk08,pattanaik00,0,perceptual
M03,4,exhibition,pattanaik00,ronan12,1,perceptual
M03,4,rivoli,ronan12,irawan05,1,perceptual
M03,4,rivoli,ronan12,hateren06,0,perceptual
M03,4,rivoli,ronan12,ferwerda96,1,perceptual
M03,4,rivoli,ronan12,pattanaik00,0,perceptual
M03,4,corridor,tmo_camera,ferwerda96,0,perceptual
M03,4,window,pattanaik00,hateren06,0,perceptual
M03,4,window,pattanaik00,tmo_camera,1,perceptual
M03,4,window,pattanaik00,ronan12,0,perceptual
M03,4,corridor,tmo_camera,hateren06,0,perceptual
M03,4,students,ronan12,tmo_camera,1,perceptual
M03,4,students,pattanaik00,ferwerda96,1,perceptual
M03,4,window,hateren06,ronan12,1,perceptual
M03,4,students,pattanaik00,hateren06,0,perceptual
M03,4,students,irawan05,mantiuk08,1,perceptual
M03,4,exhibition,pattanaik00,ferwerda96,1,perceptual
M03,4,exhibition,pattanaik00,mantiuk08,1,perceptual
M03,4,students,irawan05,tmo_camera,0,perceptual
M03,4,corridor,tmo_camera,pattanaik00,0,perceptual
M03,4,corridor,ronan12,irawan05,1,perceptual
M03,4,corridor,ronan12,mantiuk08,1,perceptual
M03,4,corridor,ronan12,ferwerda96,1,perceptual
M03,4,exhibition,irawan05,tmo_camera,0,perceptual
M03,4,exhibition,irawan05,ronan12,0,perceptual
M03,4,rivoli,hateren06,pattanaik00,1,perceptual
M03,4,exhibition,irawan05,ferwerda96,0,perceptual
M03,4,window,ferwerda96,irawan05,0,perceptual
M03,4,corridor,ronan12,hateren06,0,perceptual
M03,4,window,ferwerda96,mantiuk08,0,perceptual
M03,4,rivoli,irawan05,ferwerda96,0,perceptual
M03,4,window,ferwerda96,tmo_camera,1,perceptual
M03,4,window,irawan05,mantiuk08,1,perceptual
M03,4,exhibition,irawan05,mantiuk08,0,perceptual
M03,4,exhibition,tmo_camera,ronan12,1,perceptual
M03,4,exhibition,tmo_camera,ferwerda96,0,perceptual
M03,4,exhibition,tmo_camera,mantiuk08,1,perceptual
M03,4,exhibition,ronan12,mantiuk08,1,perceptual
M03,4,corridor,ronan12,pattanaik00,0,perceptual
M03,4,corridor,hateren06,pattanaik00,1,perceptual
M03,4,corridor,irawan05,mantiuk08,1,perceptual
M03,4,corridor,irawan05,ferwerda96,1,perceptual
M03,4,corridor,mantiuk08,ferwerda96,0,perceptual
F01,5,students,ferwerda96,ronan12,1,perceptual
F01,5,students,ferwerda96,mantiuk08,1,perceptual
F01,5,corridor,tmo_camera,hateren06,0,perceptual
F01,5,corridor,tmo_camera,pattanaik00,0,perceptual
F01,5,students,ferwerda96,tmo_camera,1,perceptual
F01,5,window,tmo_camera,pattanaik00,0,perceptual
F01,5,corridor,tmo_camera,ferwerda96,0,perceptual
F01,5,students,ferwerda96,pattanaik00,0,perceptual
F01,5,rivoli,tmo_camera,mantiuk08,0,perceptual
F01,5,students,ferwerda96,irawan05,1,perceptual
F01,5,rivoli,tmo_camera,hateren06,0,perceptual
F01,5,students,ferwerda96,hateren06,1,perceptual
F01,5,rivoli,tmo_camera,pattanaik00,0,perceptual
F01,5,corridor,tmo_camera,irawan05,0,perceptual
F01,5,students,ronan12,mantiuk08,0,perceptual
F01,5,corridor,tmo_camera,ronan12,0,perceptual
F01,5,rivoli,tmo_camera,ferwerda96,0,perceptual
F01,5,window,tmo_camera,irawan05,0,perceptual
F01,5,exhibition,hateren06,mantiuk08,1,perceptual
F01,5,window,tmo_camera,ferwerda96,0,perceptual
F01,5,window,tmo_camera,hateren06,0,perceptual
F01,5,rivoli,tmo_camera,irawan05,0,perceptual
F01,5,rivoli,tmo_camera,ronan12,0,perceptual
F01,5,rivoli,mantiuk08,hateren06,0,perceptual
F01,5,window,tmo_camera,mantiuk08,0,perceptual
F01,5,window,tmo_camera,ronan12,0,perceptual
F01,5,rivoli,mantiuk08,pattanaik00,0,perceptual
F01,5,window,pattanaik00,irawan05,0,perceptual
F01,5,exhibition,hateren06,tmo_camera,1,perceptual
F01,5,corridor,tmo_camera,mantiuk08,0,perceptual
F01,5,students,ronan12,tmo_camera,0,perceptual
F01,5,students,ronan12,irawan05,1,perceptual
F01,5,students,ronan12,hateren06,0,perceptual
F01,5,window,pattanaik00,ferwerda96,0,perceptual
F01,5,window,pattanaik00,hateren06,0,perceptual
F01,5,students,mantiuk08,tmo_camera,0,perceptual
F01,5,window,pattanaik00,mantiuk08,1,perceptual
F01,5,rivoli,mantiuk08,ferwerda96,0,perceptual
F01,5,window,pattanaik00,ronan12,0,perceptual
F01,5,exhibition,hateren06,ronan12,1,perceptual
F01,5,students,mantiuk08,hateren06,0,perceptual
F01,5,exhibition,hateren06,irawan05,1,perceptual
F01,5,rivoli,mantiuk08,irawan05,0,perceptual
F01,5,students,tmo_camera,hateren06,1,perceptual
F01,5,window,irawan05,ferwerda96,0,perceptual
F01,5,window,irawan05,hateren06,0,perceptual
F01,5,window,irawan05,ronan12,0,perceptual
F01,5,corridor,hateren06,pattanaik00,0,perceptual
F01,5,window,ferwerda96,hateren06,1,perceptual
F01,5,corridor,hateren06,ferwerda96,0,perceptual
F01,5,exhibition,hateren06,pattanaik00,1,perceptual
F01,5,rivoli,mantiuk08,ronan12,0,perceptual
F01,5,exhibition,hateren06,ferwerda96,1,perceptual
F01,5,rivoli,hateren06,pattanaik00,1,perceptual
F01,5,rivoli,hateren06,ferwerda96,1,perceptual
F01,5,window,ferwerda96,ronan12,1,perceptual
F01,5,corridor,hateren06,irawan05,0,perceptual
F01,5,corridor,hateren06,ronan12,0,perceptual
F01,5,exhibition,mantiuk08,tmo_camera,0,perceptual
F01,5,rivoli,hateren06,irawan05,1,perceptual
F01,5,corridor,hateren06,mantiuk08,0,perceptual
F01,5,window,hateren06,ronan12,1,perceptual
F01,5,rivoli,hateren06,ronan12,1,perceptual
F01,5,exhibition,mantiuk08,ronan12,1,perceptual
F01,5,exhibition,mantiuk08,irawan05,1,perceptual
F01,5,corridor,pattanaik00,ferwerda96,1,perceptual
F01,5,corridor,pattanaik00,irawan05,1,perceptual
F01,5,rivoli,pattanaik00,ferwerda96,1,perceptual
F01,5,exhibition,mantiuk08,pattanaik00,0,perceptual
F01,5,rivoli,pattanaik00,irawan05,1,perceptual
F01,5,corridor,pattanaik00,ronan12,1,perceptual
F01,5,rivoli,pattanaik00,ronan12,1,perceptual
F01,5,exhibition,mantiuk08,ferwerda96,0,perceptual
F01,5,rivoli,ferwerda96,irawan05,1,perceptual
F01,5,corridor,pattanaik00,mantiuk08,1,perceptual
F01,5,exhibition,tmo_camera,pattanaik00,0,perceptual
F01,5,exhibition,tmo_camera,ferwerda96,0,perceptual
F01,5,rivoli,ferwerda96,ronan12,0,perceptual
F01,5,exhibition,ronan12,irawan05,1,perceptual
F01,5,exhibition,pattanaik00,ferwerda96,1,perceptual
F01,5,corridor,ferwerda96,irawan05,1,perceptual
F01,5,corridor,ferwerda96,ronan12,1,perceptual
F01,5,corridor,ferwerda96,mantiuk08,1,perceptual
F01,5,corridor,irawan05,ronan12,0,perceptual
F01,5,corridor,irawan05,mantiuk08,1,perceptual
M04,6,rivoli,hateren06,ferwerda96,1,perceptual
M04,6,corridor,tmo_camera,irawan05,1,perceptual
M04,6,rivoli,hateren06,irawan05,1,perceptual
M04,6,window,tmo_camera,ronan12,1,perceptual
M04,6,rivoli,hateren06,ronan12,1,perceptual
M04,6,window,tmo_camera,pattanaik00,1,perceptual
M04,6,rivoli,hateren06,pattanaik00,1,perceptual
M04,6,rivoli,hateren06,mantiuk08,1,perceptual
M04,6,exhibition,irawan05,pattanaik00,0,perceptual
M04,6,exhibition,irawan05,ferwerda96,0,perceptual
M04,6,corridor,tmo_camera,mantiuk08,0,perceptual
M04,6,students,tmo_camera,ferwerda96,0,perceptual
M04,6,students,tmo_camera,irawan05,1,perceptual
M04,6,exhibition,irawan05,tmo_camera,0,perceptual
M04,6,exhibition,irawan05,ronan12,0,perceptual
M04,6,exhibition,irawan05,hateren06,0,perceptual
M04,6,corridor,tmo_camera,ronan12,0,perceptual
M04,6,window,tmo_camera,ferwerda96,0,perceptual
M04,6,exhibition,irawan05,mantiuk08,0,perceptual
M04,6,exhibition,pattanaik00,ferwerda96,1,perceptual
M04,6,corridor,tmo_camera,pattanaik00,0,perceptual
M04,6,students,tmo_camera,pattanaik00,0,perceptual
M04,6,students,tmo_camera,mantiuk08,1,perceptual
M04,6,rivoli,hateren06,tmo_camera,1,perceptual
M04,6,exhibition,pattanaik00,tmo_camera,0,perceptual
M04,6,exhibition,pattanaik00,ronan12,1,perceptual
M04,6,window,tmo_camera,hateren06,1,perceptual
M04,6,rivoli,ferwerda96,irawan05,1,perceptual
M04,6,window,tmo_camera,irawan05,1,perceptual
M04,6,exhibition,pattanaik00,hateren06,0,perceptual
M04,6,rivoli,ferwerda96,ronan12,1,perceptual
M04,6,corridor,tmo_camera,hateren06,0,perceptual
M04,6,corridor,tmo_camera,ferwerda96,0,perceptual
M04,6,rivoli,ferwerda96,pattanaik00,0,perceptual
M04,6,corridor,mantiuk08,ronan12,0,perceptual
M04,6,exhibition,pattanaik00,mantiuk08,1,perceptual
M04,6,exhibition,tmo_camera,hateren06,0,perceptual
M04,6,window,tmo_camera,mantiuk08,0,perceptual
M04,6,window,ferwerda96,mantiuk08,1,perceptual
M04,6,corridor,mantiuk08,pattanaik00,0,perceptual
M04,6,corridor,mantiuk08,hateren06,0,perceptual
M04,6,exhibition,ferwerda96,ronan12,1,perceptual
M04,6,students,tmo_camera,ronan12,1,perceptual
M04,6,rivoli,ferwerda96,mantiuk08,0,perceptual
M04,6,rivoli,ferwerda96,tmo_camera,0,perceptual
M04,6,students,tmo_camera,hateren06,1,perceptual
M04,6,students,ferwerda96,pattanaik00,0,perceptual
M04,6,corridor,mantiuk08,ferwerda96,0,perceptual
M04,6,exhibition,ferwerda96,mantiuk08,1,perceptual
M04,6,corridor,ronan12,pattanaik00,1,perceptual
M04,6,students,irawan05,mantiuk08,0,perceptual
M04,6,students,irawan05,ronan12,0,perceptual
M04,6,corridor,ronan12,hateren06,0,perceptual
M04,6,exhibition,ronan12,mantiuk08,0,perceptual
M04,6,rivoli,pattanaik00,mantiuk08,1,perceptual
M04,6,students,irawan05,hateren06,0,perceptual
M04,6,window,ronan12,pattanaik00,1,perceptual
M04,6,rivoli,pattanaik00,tmo_camera,1,perceptual
M04,6,students,mantiuk08,ronan12,1,perceptual
M04,6,students,mantiuk08,hateren06,0,perceptual
M04,6,rivoli,irawan05,ronan12,0,perceptual
M04,6,corridor,ronan12,ferwerda96,0,perceptual
M04,6,corridor,hateren06,ferwerda96,1,perceptual
M04,6,rivoli,mantiuk08,tmo_camera,0,perceptual
M04,6,window,ronan12,hateren06,0,perceptual
M04,6,window,ronan12,irawan05,1,perceptual
M04,6,window,pattanaik00,irawan05,1,perceptual
M05,7,students,mantiuk08,tmo_camera,0,perceptual
M05,7,students,mantiuk08,pattanaik00,0,perceptual
M05,7,corridor,pattanaik00,irawan05,0,perceptual
M05,7,exhibition,mantiuk08,tmo_camera,0,perceptual
M05,7,window,pattanaik00,hateren06,0,perceptual
M05,7,exhibition,mantiuk08,ferwerda96,0,perceptual
M05,7,window,pattanaik00,irawan05,0,perceptual
M05,7,rivoli,pattanaik00,mantiuk08,1,perceptual
M05,7,corridor,pattanaik00,ferwerda96,1,perceptual
M05,7,rivoli,pattanaik00,ronan12,1,perceptual
M05,7,corridor,pattanaik00,hateren06,1,perceptual
M05,7,exhibition,mantiuk08,hateren06,0,perceptual
M05,7,exhibition,mantiuk08,pattanaik00,0,perceptual
M05,7,students,mantiuk08,hateren06,0,perceptual
M05,7,exhibition,mantiuk08,irawan05,1,perceptual
M05,7,students,mantiuk08,irawan05,1,perceptual
M05,7,exhibition,mantiuk08,ronan12,0,perceptual
M05,7,rivoli,pattanaik00,irawan05,1,perceptual
M05,7,corridor,pattanaik00,ronan12,0,perceptual
M05,7,students,mantiuk08,ronan12,1,perceptual
M05,7,rivoli,pattanaik00,hateren06,0,perceptual
M05,7,window,pattanaik00,mantiuk08,1,perceptual
M05,7,rivoli,pattanaik00,tmo_camera,1,perceptual
M05,7,corridor,pattanaik00,mantiuk08,1,perceptual
M05,7,exhibition,tmo_camera,ferwerda96,0,perceptual
M05,7,window,pattanaik00,tmo_camera,1,perceptual
M05,7,students,mantiuk08,ferwerda96,0,perceptual
M05,7,window,pattanaik00,ronan12,0,perceptual
M05,7,rivoli,pattanaik00,ferwerda96,1,perceptual
M05,7,exhibition,tmo_camera,hateren06,0,perceptual
M05,7,students,tmo_camera,pattanaik00,0,perceptual
M05,7,window,pattanaik00,ferwerda96,1,perceptual
M05,7,rivoli,mantiuk08,ronan12,0,perceptual
M05,7,window,hateren06,irawan05,1,perceptual
M05,7,window,hateren06,ronan12,0,perceptual
M05,7,rivoli,mantiuk08,irawan05,1,perceptual
M05,7,window,mantiuk08,tmo_camera,0,perceptual
M05,7,rivoli,mantiuk08,tmo_camera,1,perceptual
M05,7,corridor,pattanaik00,tmo_camera,1,perceptual
M05,7,exhibition,tmo_camera,pattanaik00,0,perceptual
M05,7,rivoli,mantiuk08,ferwerda96,1,perceptual
M05,7,rivoli,irawan05,tmo_camera,1,perceptual
M05,7,rivoli,irawan05,ferwerda96,1,perceptual
M05,7,corridor,irawan05,ronan12,1,perceptual
M05,7,corridor,ferwerda96,hateren06,0,perceptual
M05,7,exhibition,tmo_camera,ronan12,0,perceptual
