scene,tmo,jod,jod_low,jod_high
corridor,ferwerda96,0,0,0
corridor,hateren06,-1.6059723148447,-3.63573628343518,-0.502543735754085
corridor,irawan05,0.535862731679754,-0.144474192442479,1.25689110788931
corridor,mantiuk08,0.806309431925902,-0.0455942212419886,1.79824210738078
corridor,pattanaik00,-0.994844257206552,-1.70978819599399,-0.365628165450698
corridor,ronan12,-0.306417042164137,-1.09417530393515,0.386267043097429
corridor,tmo_camera,1.45386950116645,0.749091144522927,2.30615708323467
exhibition,ferwerda96,0,0,0
exhibition,hateren06,-1.95922424692404,-9.42762456160884,-0.938267321152039
exhibition,irawan05,3.60789314470259,2.78377171092752,10.883876543143
exhibition,mantiuk08,1.06655669874121,0.379567712412946,2.06048729430692
exhibition,pattanaik00,-0.233059864550761,-0.836996504088605,0.287621510152532
exhibition,ronan12,0.415759811959786,-0.558031872822777,1.3645594486309
exhibition,tmo_camera,0.552698775486339,-0.264799581713168,1.36833398373058
rivoli,ferwerda96,0,0,0
rivoli,hateren06,-2.00894701221718,-3.28258296297218,-1.2629861811629
rivoli,irawan05,0.621855297118508,0.0827668272519847,1.43505948950993
rivoli,mantiuk08,-0.378013637031137,-1.12935925308305,0.203995834841914
rivoli,pattanaik00,-1.50973303700412,-2.63867205269313,-0.60230896666819
rivoli,ronan12,-0.443469720089686,-1.11556619708015,0.221305494366719
rivoli,tmo_camera,-0.500142529292666,-1.33025196028316,0.227685989393488
students,ferwerda96,0,0,0
students,hateren06,-1.21056376668013,-2.45827718117583,-0.355509414064175
students,irawan05,2.17246000893381,1.37252466587209,3.37081869151069
students,mantiuk08,1.64702590421865,0.984850034311051,2.51188801770963
students,pattanaik00,-0.929616626300743,-1.71049054940695,-0.345705703744281
students,ronan12,0.894587330209244,-0.00258246307038057,1.920331742064
students,tmo_camera,0.121012083636254,-0.569384876796471,0.763245559878833
window,ferwerda96,0,0,0
window,hateren06,-0.341778854672895,-1.1078300525959,0.43928104576788
window,irawan05,1.2243815440554,0.409928288830726,2.06696834673722
window,mantiuk08,1.24664645788926,0.673451549584122,2.08131517709165
window,pattanaik00,0.95808169052028,0.129655175545966,1.82459179730728
window,ronan12,0.459405826577479,-0.440113081662406,1.44886279986048
window,tmo_camera,1.12805399497382,0.326158004140521,2.07818139006778
