trial,observer,session,scene,dist_type1,dist_level1,dist_type2,dist_level2,selected
1,obs_14,S,Car,DQ,1,DQ,4,1
2,obs_14,S,Car,NN,7,DQ,7,2
3,obs_14,S,Cobblestone,OPT,10,OPT,17,1
4,obs_14,S,Car,NN,24,OPT,24,2
5,obs_14,S,Cobblestone,DQ,4,NN,4,1
6,obs_14,S,Cobblestone,DQ,24,OPT,24,2
7,obs_14,S,Car,DQ,7,LINEAR,7,1
8,obs_14,S,Cobblestone,LINEAR,1,LINEAR,4,2
9,obs_14,S,Car,NN,4,NN,1,1
10,obs_14,S,Cobblestone,OPT,1,OPT,4,2
11,obs_14,S,Cobblestone,OPT,7,DQ,7,1
12,obs_14,S,Cobblestone,Reference,0,LINEAR,1,2
13,obs_14,S,Car,DQ,10,LINEAR,10,1
14,obs_14,S,Car,OPT,17,DQ,17,1
15,obs_14,S,Cobblestone,NN,1,LINEAR,1,1
16,obs_14,S,Cobblestone,LINEAR,4,LINEAR,7,1
17,obs_14,S,Car,OPT,10,OPT,7,1
18,obs_14,S,Cobblestone,OPT,1,DQ,1,2
19,obs_14,S,Cobblestone,LINEAR,4,DQ,4,2
20,obs_14,S,Cobblestone,DQ,1,LINEAR,1,1
21,obs_14,S,Car,DQ,24,OPT,24,2
22,obs_14,S,Cobblestone,OPT,17,LINEAR,17,1
23,obs_14,S,Car,OPT,17,NN,17,2
24,obs_14,S,Cobblestone,NN,4,NN,7,1
25,obs_14,S,Car,LINEAR,1,NN,1,1
26,obs_14,S,Car,NN,7,OPT,7,2
27,obs_14,S,Cobblestone,NN,17,NN,10,2
28,obs_14,S,Cobblestone,LINEAR,4,OPT,4,2
29,obs_14,S,Cobblestone,DQ,4,OPT,4,1
30,obs_14,S,Car,DQ,1,NN,1,1
31,obs_14,S,Cobblestone,NN,7,NN,10,2
32,obs_14,S,Car,LINEAR,7,LINEAR,10,1
33,obs_14,S,Car,Reference,0,NN,1,2
34,obs_14,S,Cobblestone,OPT,1,NN,1,2
35,obs_14,S,Car,OPT,10,NN,10,1
36,obs_14,S,Cobblestone,NN,4,NN,1,2
37,obs_14,S,Cobblestone,LINEAR,24,DQ,24,2
38,obs_14,S,Cobblestone,DQ,17,DQ,24,2
39,obs_14,S,Cobblestone,OPT,17,DQ,17,2
40,obs_14,S,Car,DQ,24,LINEAR,24,1
41,obs_14,S,Car,DQ,17,NN,17,2
42,obs_14,S,Car,OPT,4,OPT,7,1
43,obs_14,S,Car,NN,24,LINEAR,24,1
44,obs_14,S,Cobblestone,Reference,0,DQ,1,2
45,obs_14,S,Cobblestone,NN,1,DQ,1,1
46,obs_14,S,Cobblestone,LINEAR,10,DQ,10,2
47,obs_14,S,Cobblestone,NN,10,OPT,10,2
48,obs_14,S,Car,NN,4,DQ,4,1
49,obs_14,S,Car,OPT,17,OPT,10,2
50,obs_14,S,Cobblestone,OPT,7,LINEAR,7,1
51,obs_14,S,Car,DQ,17,LINEAR,17,1
52,obs_14,S,Cobblestone,NN,17,DQ,17,2
53,obs_14,S,Cobblestone,LINEAR,10,LINEAR,17,1
54,obs_14,S,Cobblestone,NN,10,DQ,10,2
55,obs_14,S,Cobblestone,DQ,4,DQ,1,1
56,obs_14,S,Car,NN,7,NN,10,1
57,obs_14,S,Car,Reference,0,OPT,1,1
58,obs_14,S,Car,NN,10,LINEAR,10,1
59,obs_14,S,Cobblestone,NN,24,OPT,24,2
60,obs_14,S,Car,LINEAR,1,OPT,1,1
61,obs_14,S,Car,NN,7,NN,4,2
62,obs_14,S,Cobblestone,OPT,24,LINEAR,24,1
63,obs_14,S,Cobblestone,OPT,24,OPT,17,2
64,obs_14,S,Car,Reference,0,DQ,1,2
65,obs_14,S,Car,OPT,7,LINEAR,7,1
66,obs_14,S,Cobblestone,LINEAR,1,OPT,1,1
67,obs_14,S,Cobblestone,LINEAR,24,NN,24,2
68,obs_14,S,Cobblestone,DQ,17,DQ,10,2
69,obs_14,S,Car,DQ,4,LINEAR,4,2
70,obs_14,S,Car,LINEAR,4,LINEAR,1,2
71,obs_14,S,Car,OPT,1,NN,1,1
72,obs_14,S,Cobblestone,OPT,7,NN,7,2
73,obs_14,S,Car,LINEAR,24,OPT,24,2
74,obs_14,S,Cobblestone,OPT,10,LINEAR,10,1
75,obs_14,S,Car,DQ,4,DQ,7,2
76,obs_14,S,Car,LINEAR,17,OPT,17,2
77,obs_14,S,Cobblestone,DQ,4,DQ,7,1
78,obs_14,S,Car,LINEAR,17,NN,17,2
79,obs_14,S,Car,NN,10,NN,17,2
80,obs_14,S,Cobblestone,LINEAR,10,LINEAR,7,2
81,obs_14,S,Car,OPT,4,LINEAR,4,1
82,obs_14,S,Car,DQ,24,NN,24,2
83,obs_14,S,Cobblestone,Reference,0,NN,1,1
84,obs_14,S,Car,OPT,1,DQ,1,2
85,obs_14,S,Car,DQ,17,DQ,24,2
86,obs_14,S,Car,OPT,10,DQ,10,1
87,obs_14,S,Cobblestone,LINEAR,17,DQ,17,2
